"","Domain","Phylum","Class","Order","Family","Genus","Species"
"OTU11334","bacteria","firmicutes","bacilli","bacillales","paenibacillaceae","paenibacillus","paenibacillus sp."
"OTU11335","bacteria","proteobacteria","deltaproteobacteria","desulfuromonadales","geobacteraceae","geobacter","geobacter spp."
"OTU11336","bacteria","firmicutes","clostridia","clostridiales","clostridiaceae","clostridium","clostridium spp."
"OTU11337","bacteria","proteobacteria","deltaproteobacteria","syntrophobacterales","syntrophaceae","desulfomonile","desulfomonile spp."
"OTU11338","bacteria","proteobacteria","deltaproteobacteria","bdellovibrionales","bdellovibrionaceae","bdellovibrio","bdellovibrio bacteriovorus"
"OTU11339","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","hyphomicrobiaceae","hyphomicrobium","hyphomicrobium spp."
"OTU11340","bacteria","firmicutes","clostridia","clostridiales","clostridiaceae","clostridium","clostridium sp."
"OTU11341","bacteria","firmicutes","clostridia","thermoanaerobacterales","thermoanaerobacteraceae","moorella","moorella spp."
"OTU11342","bacteria","actinobacteria","actinobacteria","actinomycetales","mycobacteriaceae","mycobacterium","mycobacterium spp."
"OTU11343","bacteria","actinobacteria","actinobacteria","solirubrobacterales","solirubrobacteraceae","solirubrobacter","solirubrobacter spp."
"OTU11344","bacteria","acidobacteria","holophagae","holophagales","holophagaceae","holophaga","holophaga spp."
"OTU11345","bacteria","actinobacteria","actinobacteria","actinomycetales","streptomycetaceae","streptomyces","streptomyces spp."
"OTU11346","bacteria","actinobacteria","actinobacteria","rubrobacterales","rubrobacteraceae","rubrobacter","rubrobacter spp."
"OTU11347","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","gemmata","gemmata spp."
"OTU11348","bacteria","proteobacteria","deltaproteobacteria","syntrophobacterales","syntrophobacteraceae","syntrophobacter","syntrophobacter spp."
"OTU11349","bacteria","chloroflexi","chloroflexia","chloroflexales","chloroflexaceae","chloroflexus","chloroflexus spp."
"OTU11350","bacteria","proteobacteria","betaproteobacteria","burkholderiales","burkholderiaceae","ralstonia","ralstonia spp."
"OTU11351","bacteria","actinobacteria","actinobacteria","solirubrobacterales","solirubrobacteraceae","solirubrobacter","solirubrobacter spp."
"OTU11352","bacteria","proteobacteria","gammaproteobacteria","xanthomonadales","xanthomonadaceae","dyella","dyella ginsengisoli"
"OTU11353","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","sphingobacteriaceae","pedobacter","pedobacter terrae"
"OTU11354","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","chitinophagaceae","flavisolibacter","flavisolibacter sp."
"OTU11355","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","rhizobiaceae","rhizobium","rhizobium sp."
"OTU11356","bacteria","proteobacteria","deltaproteobacteria","syntrophobacterales","syntrophaceae","syntrophus","syntrophus spp."
"OTU11357","bacteria","actinobacteria","actinobacteria","acidimicrobiales","iamiaceae","iamia","iamia majanohamensis"
"OTU11358","bacteria","actinobacteria","actinobacteria","solirubrobacterales","conexibacteraceae","conexibacter","conexibacter spp."
"OTU11359","bacteria","firmicutes","clostridia","clostridiales","peptococcaceae","candidatus desulforudis","candidatus desulforudis audaxviator"
"OTU11360","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","gemmata","gemmata spp."
"OTU11361","bacteria","proteobacteria","gammaproteobacteria","alteromonadales","alteromonadaceae","marinobacterium","marinobacterium coralli"
"OTU11362","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","singulisphaera","singulisphaera spp."
"OTU11363","bacteria","firmicutes","clostridia","clostridiales","eubacteriaceae","garciella","garciaella sp."
"OTU11364","bacteria","chloroflexi","caldilineae","caldilineales","caldilineaceae","litorilinea","litorilinea aerophila"
"OTU11365","bacteria","cyanobacteria","cyanobacteria","prochlorales","prochlorococcaceae","prochlorococcus","prochlorococcus spp."
"OTU11366","bacteria","proteobacteria","betaproteobacteria","rhodocyclales","rhodocyclaceae","azoarcus","azoarcus sp."
"OTU11367","bacteria","proteobacteria","deltaproteobacteria","myxococcales","nannocystaceae","nannocystis","nannocystis spp."
"OTU11368","bacteria","proteobacteria","deltaproteobacteria","desulfuromonadales","pelobacteraceae","pelobacter","pelobacter spp."
"OTU11369","bacteria","firmicutes","clostridia","clostridiales","syntrophomonadaceae","syntrophomonas","syntrophomonas spp."
"OTU11370","bacteria","firmicutes","bacilli","bacillales","paenibacillaceae","paenibacillus","paenibacillus spp."
"OTU11371","bacteria","firmicutes","bacilli","bacillales","bacillaceae","bacillus","bacillus qingdaonensis"
"OTU11372","bacteria","proteobacteria","deltaproteobacteria","myxococcales","anaeromyxobacteraceae","anaeromyxobacter","anaeromyxobacter spp."
"OTU11373","bacteria","actinobacteria","actinobacteria","actinomycetales","pseudonocardiaceae","actinomycetospora","actinomycetospora sp."
"OTU11374","bacteria","acidobacteria","holophagae","holophagales","holophagaceae","holophaga","holophaga spp."
"OTU11375","bacteria","proteobacteria","gammaproteobacteria","legionellales","legionellaceae","legionella","legionella spp."
"OTU11376","archaea","thaumarchaeota","thaumarchaeota","nitrososphaerales","nitrososphaeraceae","candidatus nitrososphaera","candidatus nitrososphaera"
"OTU11377","bacteria","firmicutes","bacilli","bacillales","paenibacillaceae","thermobacillus","thermobacillus sp."
"OTU11378","bacteria","firmicutes","clostridia","clostridiales","clostridiaceae","clostridium","clostridium sp."
"OTU11379","bacteria","proteobacteria","deltaproteobacteria","myxococcales","polyangiaceae","byssovorax","byssovorax spp."
"OTU11380","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","rhodopirellula","rhodopirellula spp."
"OTU11381","bacteria","planctomycetes","phycisphaerae","phycisphaerales","phycisphaeraceae","phycisphaera","phycisphaera spp."
"OTU11382","bacteria","bacteroidetes","bacteroidia","bacteroidales","bacteroidaceae","bacteroides","bacteroides spp."
"OTU11383","bacteria","cyanobacteria","cyanobacteria","chroococcales","chroococcales","synechococcus","synechococcus spp."
"OTU11384","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","blastopirellula","blastopirellula spp."
"OTU11385","bacteria","proteobacteria","gammaproteobacteria","gammaproteobacteria","gammaproteobacteria","candidatus nardonella","endosymbiont of cosmopolites sordidus"
"OTU11386","bacteria","proteobacteria","gammaproteobacteria","chromatiales","chromatiaceae","nitrosococcus","nitrosococcus spp."
"OTU11387","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","gemmata","gemmata spp."
"OTU11388","bacteria","proteobacteria","betaproteobacteria","burkholderiales","comamonadaceae","variovorax","variovorax paradoxus"
"OTU11389","bacteria","firmicutes","clostridia","clostridiales","gracilibacteraceae","gracilibacter","gracilibacter spp."
"OTU11390","bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","acetobacteraceae","stella","stella spp."
"OTU11391","archaea","thaumarchaeota","thaumarchaeota","nitrososphaerales","nitrososphaeraceae","candidatus nitrososphaera","candidatus nitrososphaera"
"OTU11392","bacteria","actinobacteria","actinobacteria","actinomycetales","nocardioidaceae","marmoricola","marmoricola spp."
"OTU11393","bacteria","acidobacteria","acidobacteriia","acidobacteriales","acidobacteriaceae","acidobacterium","acidobacterium spp."
"OTU11394","bacteria","acidobacteria","acidobacteriia","acidobacteriales","acidobacteriaceae","acidobacterium","acidobacterium spp."
"OTU11395","bacteria","proteobacteria","deltaproteobacteria","desulfuromonadales","pelobacteraceae","pelobacter","pelobacter spp."
"OTU11396","bacteria","cyanobacteria","cyanobacteria","pleurocapsales","pleurocapsales","chroococcidiopsis","chroococcidiopsis spp."
"OTU11397","bacteria","firmicutes","clostridia","thermoanaerobacterales","thermoanaerobacteraceae","carboxydothermus","carboxydothermus spp."
"OTU11398","bacteria","firmicutes","bacilli","bacillales","paenibacillaceae","paenibacillus","paenibacillus ehimensis"
"OTU11399","bacteria","proteobacteria","alphaproteobacteria","sphingomonadales","sphingomonadaceae","sphingomonas","sphingomonas spp."
"OTU11400","bacteria","proteobacteria","alphaproteobacteria","sphingomonadales","sphingomonadaceae","sphingomonas","sphingomonas spp."
"OTU11401","bacteria","proteobacteria","alphaproteobacteria","rhodobacterales","rhodobacteraceae","paracoccus","paracoccus spp."
"OTU11402","bacteria","proteobacteria","gammaproteobacteria","legionellales","coxiellaceae","aquicella","aquicella spp."
"OTU11403","bacteria","proteobacteria","gammaproteobacteria","chromatiales","chromatiaceae","nitrosococcus","nitrosococcus spp."
"OTU11404","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","beijerinckiaceae","beijerinckia","beijerinckia derxii"
"OTU11405","bacteria","proteobacteria","gammaproteobacteria","xanthomonadales","sinobacteraceae","steroidobacter","steroidobacter spp."
"OTU11406","bacteria","chlamydiae","chlamydiia","chlamydiales","parachlamydiaceae","candidatus protochlamydia","protochlamydia naegleriophila"
"OTU11407","bacteria","cyanobacteria","cyanobacteria","prochlorales","prochlorococcaceae","prochlorococcus","prochlorococcus sp."
"OTU11408","bacteria","proteobacteria","gammaproteobacteria","pseudomonadales","pseudomonadaceae","pseudomonas","pseudomonas mandelii"
"OTU11409","bacteria","chlamydiae","chlamydiia","chlamydiales","parachlamydiaceae","candidatus metachlamydia","candidatus metachlamydia lacustris"
"OTU11410","bacteria","actinobacteria","actinobacteria","actinomycetales","micromonosporaceae","micromonospora","micromonospora spp."
"OTU11411","bacteria","chlamydiae","chlamydiia","chlamydiales","parachlamydiaceae","candidatus protochlamydia","candidatus protochlamydia sp. cve14"
"OTU11412","bacteria","firmicutes","clostridia","clostridiales","clostridiales family xvii. incertae sedis","thermaerobacter","thermaerobacter spp."
"OTU11413","bacteria","acidobacteria","acidobacteriia","acidobacteriales","acidobacteriaceae","acidobacterium","acidobacterium spp."
"OTU11414","bacteria","proteobacteria","gammaproteobacteria","legionellales","legionellaceae","legionella","legionella spp."
"OTU11415","bacteria","proteobacteria","deltaproteobacteria","syntrophobacterales","syntrophobacteraceae","desulfovirga","desulfovirga spp."
"OTU11416","bacteria","chloroflexi","thermomicrobia","thermomicrobiales","thermomicrobiaceae","thermomicrobium","thermomicrobium spp."
"OTU11417","bacteria","actinobacteria","thermoleophilia","thermoleophilales","thermoleophilaceae","thermoleophilum","thermoleophilum spp."
"OTU11418","bacteria","actinobacteria","actinobacteria","actinomycetales","sporichthyaceae","sporichthya","sporichthya spp."
"OTU11419","bacteria","gemmatimonadetes","gemmatimonadetes","gemmatimonadales","gemmatimonadaceae","gemmatimonas","gemmatimonas spp."
"OTU11420","bacteria","proteobacteria","alphaproteobacteria","sphingomonadales","sphingomonadaceae","kaistobacter","kaistobacter spp."
"OTU11421","bacteria","proteobacteria","betaproteobacteria","nitrosomonadales","nitrosomonadaceae","nitrosovibrio","nitrosovibrio spp."
"OTU11422","bacteria","actinobacteria","actinobacteria","actinomycetales","micrococcaceae","arthrobacter","arthrobacter ramosus"
"OTU11423","bacteria","chloroflexi","dehalococcoidia","dehalococcoidales","dehalococcoidaceae","dehalococcoides","dehalococcoides spp."
"OTU11424","bacteria","actinobacteria","actinobacteria","acidimicrobiales","acidimicrobiaceae","aciditerrimonas","aciditerrimonas spp."
"OTU11425","bacteria","proteobacteria","gammaproteobacteria","xanthomonadales","xanthomonadaceae","stenotrophomonas","stenotrophomonas maltophilia"
"OTU11426","bacteria","proteobacteria","gammaproteobacteria","pseudomonadales","moraxellaceae","moraxella","moraxella sp."
"OTU11427","bacteria","proteobacteria","alphaproteobacteria","sphingomonadales","sphingomonadaceae","sphingomonas","sphingomonas spp."
"OTU11428","bacteria","bacteroidetes","cytophagia","cytophagales","cytophagaceae","ohtaekwangia","ohtaekwangia spp."
"OTU11429","bacteria","actinobacteria","actinobacteria","rubrobacterales","rubrobacteraceae","rubrobacter","rubrobacter spp."
"OTU11430","bacteria","actinobacteria","actinobacteria","actinobacteria","actinobacteria","candidatus planktophila","uncultured candidatus planktophila sp."
"OTU11431","bacteria","proteobacteria","deltaproteobacteria","bdellovibrionales","bacteriovoracaceae","bacteriovorax","bacteriovorax spp."
"OTU11432","eukaryota","euglenida","euglenida","euglenales","euglenaceae","euglena","euglena schmitzii"
"OTU11433","bacteria","gemmatimonadetes","gemmatimonadetes","gemmatimonadales","gemmatimonadaceae","gemmatimonas","gemmatimonas spp."
"OTU11434","bacteria","actinobacteria","actinobacteria","actinomycetales","actinomycetaceae","actinomyces","actinomyces spp."
"OTU11435","bacteria","proteobacteria","deltaproteobacteria","myxococcales","cystobacteraceae","cystobacter","cystobacter spp."
"OTU11436","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","hyphomicrobiaceae","rhizomicrobium","rhizomicrobium spp."
"OTU11437","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","zavarzinella","zavarzinella spp."
"OTU11438","bacteria","actinobacteria","actinobacteria","actinomycetales","corynebacteriaceae","corynebacterium","corynebacterium tuberculostearicum"
"OTU11439","bacteria","actinobacteria","actinobacteria","solirubrobacterales","solirubrobacteraceae","solirubrobacter","solirubrobacter spp."
"OTU11440","bacteria","firmicutes","bacilli","bacillales","alicyclobacillaceae","tumebacillus","tumebacillus sp."
"OTU11441","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","singulisphaera","singulisphaera rosea"
"OTU11442","bacteria","actinobacteria","actinobacteria","acidimicrobiales","acidimicrobiaceae","acidimicrobium","acidimicrobium spp."
"OTU11443","bacteria","actinobacteria","actinobacteria","actinomycetales","frankiaceae","jatrophihabitans","jatrophihabitans endophyticus"
"OTU11444","bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","acetobacteraceae","stella","stella spp."
"OTU11445","bacteria","actinobacteria","actinobacteria","actinomycetales","thermomonosporaceae","actinomadura","actinomadura umbrina"
"OTU11446","fungi","ascomycota","leotiomycetes","helotiales","hyaloscyphaceae","hyaloscypha","hyaloscypha fuckelii"
