"","Domain","Phylum","Class","Order","Family","Genus","Species"
"OTU1","bacteria","actinobacteria","actinobacteria","actinomycetales","micrococcaceae","arthrobacter","arthrobacter spp."
"OTU2","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","rhizobiaceae","rhizobium","rhizobium tropici"
"OTU3","bacteria","proteobacteria","gammaproteobacteria","pseudomonadales","pseudomonadaceae","pseudomonas","pseudomonas spp."
"OTU4","bacteria","proteobacteria","gammaproteobacteria","xanthomonadales","xanthomonadaceae","stenotrophomonas","stenotrophomonas rhizophila"
"OTU5","bacteria","proteobacteria","gammaproteobacteria","xanthomonadales","xanthomonadaceae","lysobacter","lysobacter concretionis"
"OTU6","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","sphingobacteriaceae","pedobacter","pedobacter nyackensis"
"OTU7","bacteria","proteobacteria","gammaproteobacteria","xanthomonadales","xanthomonadaceae","rhodanobacter","rhodanobacter spp."
"OTU8","archaea","thaumarchaeota","thaumarchaeota","nitrososphaerales","nitrososphaeraceae","candidatus nitrososphaera","candidatus nitrososphaera"
"OTU9","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","sphingobacteriaceae","pedobacter","pedobacter wanjuense"
"OTU10","bacteria","proteobacteria","gammaproteobacteria","xanthomonadales","xanthomonadaceae","stenotrophomonas","stenotrophomonas sp."
"OTU11","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","brucellaceae","mycoplana","mycoplana spp."
"OTU12","archaea","thaumarchaeota","thaumarchaeota","nitrososphaerales","nitrososphaeraceae","candidatus nitrososphaera","candidatus nitrososphaera"
"OTU13","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","chitinophagaceae","chitinophaga","chitinophaga spp."
"OTU14","bacteria","actinobacteria","actinobacteria","actinomycetales","nocardiaceae","rhodococcus","rhodococcus spp."
"OTU15","bacteria","actinobacteria","actinobacteria","actinomycetales","microbacteriaceae","frigoribacterium","frigoribacterium sp."
"OTU16","bacteria","proteobacteria","betaproteobacteria","burkholderiales","comamonadaceae","variovorax","variovorax paradoxus"
"OTU17","archaea","thaumarchaeota","thaumarchaeota","nitrososphaerales","nitrososphaeraceae","nitrososphaera","candidatus nitrososphaera gargensis"
"OTU18","bacteria","actinobacteria","actinobacteria","actinomycetales","intrasporangiaceae","knoellia","knoellia sinensis"
"OTU19","bacteria","actinobacteria","actinobacteria","actinomycetales","cellulomonadaceae","cellulomonas","cellulomonas spp."
"OTU20","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","hyphomicrobiaceae","rhodoplanes","rhodoplanes spp."
"OTU21","bacteria","actinobacteria","actinobacteria","actinomycetales","micrococcaceae","arthrobacter","arthrobacter nicotinovorans"
"OTU22","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","bradyrhizobiaceae","bradyrhizobium","bradyrhizobium spp."
"OTU23","bacteria","proteobacteria","gammaproteobacteria","enterobacteriales","enterobacteriaceae","enterobacter","enterobacter hormaechei"
"OTU24","bacteria","proteobacteria","betaproteobacteria","burkholderiales","burkholderiaceae","cupriavidus","cupriavidus spp."
"OTU25","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","hyphomicrobiaceae","hyphomicrobium","hyphomicrobium spp."
"OTU26","bacteria","actinobacteria","actinobacteria","actinomycetales","mycobacteriaceae","mycobacterium","mycobacterium vanbaalenii"
"OTU27","bacteria","firmicutes","bacilli","bacillales","bacillaceae","bacillus","bacillus spp."
"OTU28","archaea","thaumarchaeota","thaumarchaeota","nitrososphaerales","nitrososphaeraceae","nitrososphaera","candidatus nitrososphaera gargensis"
"OTU29","bacteria","proteobacteria","gammaproteobacteria","pseudomonadales","pseudomonadaceae","pseudomonas","pseudomonas putida"
"OTU30","bacteria","proteobacteria","betaproteobacteria","burkholderiales","oxalobacteraceae","massilia","massilia timonae"
"OTU31","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","sphingobacteriaceae","pedobacter","pedobacter sp."
"OTU32","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","rhizobiaceae","agrobacterium","agrobacterium tumefaciens"
"OTU33","bacteria","proteobacteria","gammaproteobacteria","vibrionales","vibrionaceae","vibrio","vibrio sp."
"OTU34","bacteria","actinobacteria","actinobacteria","actinomycetales","geodermatophilaceae","blastococcus","blastococcus spp."
"OTU35","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","chitinophagaceae","chitinophaga","chitinophaga arvensicola"
"OTU36","archaea","thaumarchaeota","thaumarchaeota","nitrososphaerales","nitrososphaeraceae","candidatus nitrososphaera","candidatus nitrososphaera"
"OTU37","bacteria","actinobacteria","actinobacteria","actinomycetales","sanguibacteraceae","sanguibacter","sanguibacter inulinus"
"OTU38","archaea","thaumarchaeota","thaumarchaeota","nitrososphaerales","nitrososphaeraceae","nitrososphaera","nitrososphaera sp."
"OTU39","bacteria","verrucomicrobia","verrucomicrobiae","verrucomicrobiales","verrucomicrobiaceae","prosthecobacter","prosthecobacter spp."
"OTU40","bacteria","proteobacteria","betaproteobacteria","burkholderiales","oxalobacteraceae","herminiimonas","herminiimonas fonticola"
"OTU41","bacteria","firmicutes","bacilli","bacillales","paenibacillaceae","paenibacillus","paenibacillus spp."
"OTU42","bacteria","proteobacteria","alphaproteobacteria","sphingomonadales","sphingomonadaceae","kaistobacter","kaistobacter spp."
"OTU43","bacteria","proteobacteria","gammaproteobacteria","xanthomonadales","xanthomonadaceae","rhodanobacter","rhodanobacter sp."
"OTU44","bacteria","actinobacteria","actinobacteria","actinomycetales","streptomycetaceae","streptomyces","streptomyces spp."
"OTU45","bacteria","proteobacteria","betaproteobacteria","burkholderiales","alcaligenaceae","achromobacter","achromobacter xylosoxidans"
"OTU46","bacteria","verrucomicrobia","verrucomicrobiae","verrucomicrobiales","verrucomicrobiaceae","prosthecobacter","prosthecobacter spp."
"OTU47","bacteria","chloroflexi","anaerolineae","anaerolineales","anaerolineaceae","levilinea","levilinea spp."
"OTU48","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","phyllobacteriaceae","mesorhizobium","mesorhizobium septentrionale"
"OTU49","bacteria","firmicutes","bacilli","bacillales","paenibacillaceae","paenibacillus","paenibacillus sp."
"OTU50","bacteria","actinobacteria","actinobacteria","actinomycetales","microbacteriaceae","frigoribacterium","frigoribacterium spp."
"OTU51","bacteria","proteobacteria","alphaproteobacteria","caulobacterales","caulobacteraceae","brevundimonas","brevundimonas spp."
"OTU52","bacteria","deinococcus_thermus","deinococci","deinococcales","deinococcaceae","deinococcus","deinococcus sp."
"OTU53","archaea","thaumarchaeota","thaumarchaeota","nitrososphaerales","nitrososphaeraceae","nitrososphaera","candidatus nitrososphaera gargensis"
"OTU54","bacteria","proteobacteria","alphaproteobacteria","sphingomonadales","sphingomonadaceae","sphingopyxis","sphingopyxis chilensis"
"OTU55","bacteria","actinobacteria","actinobacteria","actinomycetales","microbacteriaceae","agromyces","agromyces sp."
"OTU56","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","phyllobacteriaceae","mesorhizobium","mesorhizobium loti"
"OTU57","bacteria","proteobacteria","deltaproteobacteria","bdellovibrionales","bacteriovoracaceae","bacteriovorax","bacteriovorax spp."
"OTU58","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","sphingobacteriaceae","pedobacter","pedobacter sp."
"OTU59","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","rhizobiaceae","kaistia","kaistia sp."
"OTU60","bacteria","proteobacteria","deltaproteobacteria","desulfuromonadales","pelobacteraceae","pelobacter","pelobacter spp."
"OTU61","bacteria","proteobacteria","betaproteobacteria","burkholderiales","comamonadaceae","acidovorax","acidovorax konjaci"
"OTU62","metazoa","arthropoda","insecta","phasmatodea","bacillidae","bacillus","bacillus subtilis"
"OTU63","bacteria","actinobacteria","actinobacteria","actinomycetales","nocardioidaceae","marmoricola","marmoricola spp."
"OTU64","bacteria","proteobacteria","betaproteobacteria","burkholderiales","oxalobacteraceae","duganella","duganella zoogloeoides"
"OTU65","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","sphingobacteriaceae","pedobacter","pedobacter sp."
"OTU66","bacteria","proteobacteria","alphaproteobacteria","caulobacterales","caulobacteraceae","brevundimonas","brevundimonas intermedia"
"OTU67","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","hyphomicrobiaceae","devosia","devosia subaequoris"
"OTU68","bacteria","actinobacteria","actinobacteria","solirubrobacterales","solirubrobacteraceae","solirubrobacter","solirubrobacter spp."
"OTU69","bacteria","proteobacteria","betaproteobacteria","hydrogenophilales","hydrogenophilaceae","thiobacillus","thiobacillus spp."
"OTU70","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","sphingobacteriaceae","sphingobacterium","sphingobacterium anhuiense"
"OTU71","bacteria","proteobacteria","gammaproteobacteria","xanthomonadales","xanthomonadaceae","luteimonas","luteimonas terricola"
"OTU72","bacteria","actinobacteria","actinobacteria","solirubrobacterales","conexibacteraceae","conexibacter","conexibacter spp."
"OTU73","bacteria","proteobacteria","betaproteobacteria","burkholderiales","comamonadaceae","comamonas","comamonas jiangduensis"
"OTU74","bacteria","gemmatimonadetes","gemmatimonadetes","gemmatimonadales","gemmatimonadaceae","gemmatimonas","gemmatimonas spp."
"OTU75","bacteria","actinobacteria","actinobacteria","actinomycetales","geodermatophilaceae","blastococcus","blastococcus spp."
"OTU76","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","bradyrhizobiaceae","bosea","bosea sp."
"OTU77","bacteria","proteobacteria","alphaproteobacteria","sphingomonadales","sphingomonadaceae","sphingomonas","sphingomonas spp."
"OTU78","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","chitinophagaceae","flavisolibacter","flavisolibacter ginsengisoli"
"OTU79","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","hyphomicrobiaceae","devosia","devosia insulae"
"OTU80","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","hyphomicrobiaceae","devosia","devosia neptuniae"
"OTU81","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","hyphomicrobiaceae","rhodoplanes","rhodoplanes spp."
"OTU82","bacteria","proteobacteria","betaproteobacteria","burkholderiales","alcaligenaceae","achromobacter","achromobacter sp."
"OTU83","bacteria","actinobacteria","actinobacteria","solirubrobacterales","solirubrobacteraceae","solirubrobacter","solirubrobacter spp."
"OTU84","bacteria","gemmatimonadetes","gemmatimonadetes","gemmatimonadales","gemmatimonadaceae","gemmatimonas","gemmatimonas spp."
"OTU85","bacteria","actinobacteria","actinobacteria","actinomycetales","microbacteriaceae","agromyces","agromyces ulmi"
"OTU86","bacteria","acidobacteria","acidobacteriia","acidobacteriales","acidobacteriaceae","acidobacterium","acidobacterium spp."
"OTU87","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","chitinophagaceae","ferruginibacter","ferruginibacter sp."
"OTU88","archaea","thaumarchaeota","thaumarchaeota","nitrososphaerales","nitrososphaeraceae","candidatus nitrososphaera","candidatus nitrososphaera"
"OTU89","bacteria","proteobacteria","deltaproteobacteria","myxococcales","anaeromyxobacteraceae","anaeromyxobacter","anaeromyxobacter spp."
"OTU90","bacteria","firmicutes","bacilli","bacillales","paenibacillaceae","paenibacillus","paenibacillus spp."
"OTU91","bacteria","proteobacteria","alphaproteobacteria","sphingomonadales","sphingomonadaceae","sphingomonas","sphingomonas spp."
"OTU92","bacteria","nitrospirae","nitrospira","nitrospirales","nitrospiraceae","nitrospira","nitrospira japonica"
"OTU93","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","sphingobacteriaceae","pedobacter","pedobacter spp."
"OTU94","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","phyllobacteriaceae","phyllobacterium","phyllobacterium spp."
"OTU95","bacteria","gemmatimonadetes","gemmatimonadetes","gemmatimonadales","gemmatimonadaceae","gemmatimonas","gemmatimonas spp."
"OTU96","bacteria","proteobacteria","deltaproteobacteria","desulfuromonadales","pelobacteraceae","pelobacter","pelobacter spp."
"OTU97","bacteria","actinobacteria","actinobacteria","solirubrobacterales","conexibacteraceae","conexibacter","conexibacter spp."
"OTU98","bacteria","proteobacteria","gammaproteobacteria","xanthomonadales","xanthomonadaceae","thermomonas","thermomonas spp."
"OTU99","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","sphingobacteriaceae","pedobacter","pedobacter spp."
"OTU100","bacteria","firmicutes","bacilli","bacillales","planococcaceae","sporosarcina","sporosarcina sp."
"OTU101","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","bradyrhizobiaceae","rhodopseudomonas","rhodopseudomonas spp."
"OTU102","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","chitinophagaceae","chitinophaga","chitinophaga spp."
"OTU103","bacteria","acidobacteria","acidobacteriia","acidobacteriales","acidobacteriaceae","acidobacterium","acidobacterium spp."
"OTU104","bacteria","actinobacteria","actinobacteria","actinomycetales","mycobacteriaceae","mycobacterium","mycobacterium triplex"
"OTU105","bacteria","verrucomicrobia","spartobacteria","spartobacteria","spartobacteria","chthoniobacter","chthoniobacter flavus"
"OTU106","bacteria","actinobacteria","actinobacteria","actinomycetales","nakamurellaceae","nakamurella","nakamurella spp."
"OTU107","bacteria","firmicutes","bacilli","bacillales","paenibacillaceae","paenibacillus","paenibacillus spp."
"OTU108","bacteria","proteobacteria","gammaproteobacteria","xanthomonadales","xanthomonadaceae","pseudoxanthomonas","pseudoxanthomonas mexicana"
"OTU109","bacteria","actinobacteria","actinobacteria","actinomycetales","streptomycetaceae","streptomyces","streptomyces sp."
"OTU110","bacteria","actinobacteria","actinobacteria","gaiellales","gaiellaceae","gaiella","gaiella spp."
"OTU111","bacteria","gemmatimonadetes","gemmatimonadetes","gemmatimonadales","gemmatimonadaceae","gemmatimonas","gemmatimonas spp."
"OTU112","bacteria","proteobacteria","betaproteobacteria","burkholderiales","alcaligenaceae","pusillimonas","pusillimonas sp."
"OTU113","bacteria","actinobacteria","thermoleophilia","thermoleophilales","thermoleophilaceae","thermoleophilum","thermoleophilum spp."
"OTU114","bacteria","gemmatimonadetes","gemmatimonadetes","gemmatimonadales","gemmatimonadaceae","gemmatimonas","gemmatimonas spp."
"OTU115","bacteria","bacteroidetes","cytophagia","cytophagales","cytophagaceae","flexibacter","flexibacter sp."
"OTU116","bacteria","proteobacteria","alphaproteobacteria","magnetococcales","magnetococcaceae","magnetococcus","magnetococcus spp."
"OTU117","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","methylocystaceae","methylosinus","methylosinus trichosporium"
"OTU118","bacteria","firmicutes","bacilli","bacillales","paenibacillaceae","paenibacillus","paenibacillus sp."
"OTU119","bacteria","bacteroidetes","flavobacteriia","flavobacteriales","flavobacteriaceae","chryseobacterium","chryseobacterium soldanellicola"
"OTU120","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","hyphomicrobiaceae","rhodoplanes","rhodoplanes spp."
"OTU121","bacteria","firmicutes","bacilli","bacillales","bacillaceae","bacillus","bacillus simplex"
"OTU122","bacteria","verrucomicrobia","verrucomicrobiae","verrucomicrobiales","verrucomicrobiaceae","luteolibacter","luteolibacter sp."
"OTU123","bacteria","acidobacteria","acidobacteriia","acidobacteriales","acidobacteriaceae","acidobacterium","acidobacterium spp."
"OTU124","bacteria","bacteroidetes","flavobacteriia","flavobacteriales","flavobacteriaceae","flavobacterium","flavobacterium sp."
"OTU125","bacteria","actinobacteria","actinobacteria","actinomycetales","nocardioidaceae","nocardioides","nocardioides spp."
"OTU126","bacteria","cyanobacteria","cyanobacteria","prochlorales","prochlorococcaceae","prochlorococcus","prochlorococcus spp."
"OTU127","bacteria","proteobacteria","betaproteobacteria","nitrosomonadales","nitrosomonadaceae","nitrosovibrio","nitrosovibrio tenuis"
"OTU128","bacteria","bacteroidetes","cytophagia","cytophagales","cytophagaceae","dyadobacter","dyadobacter sp."
"OTU129","bacteria","acidobacteria","holophagae","holophagales","holophagaceae","holophaga","holophaga spp."
"OTU130","bacteria","actinobacteria","actinobacteria","actinomycetales","nocardioidaceae","nocardioides","nocardioides maritimus"
"OTU131","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","hyphomicrobiaceae","rhodoplanes","rhodoplanes sp."
"OTU132","bacteria","actinobacteria","actinobacteria","actinomycetales","nocardioidaceae","nocardioides","nocardioides spp."
"OTU133","bacteria","chloroflexi","chloroflexia","chloroflexales","chloroflexaceae","chloroflexus","chloroflexus spp."
"OTU134","bacteria","proteobacteria","gammaproteobacteria","methylococcales","methylococcaceae","methylomicrobium","methylomicrobium agile"
"OTU135","bacteria","proteobacteria","alphaproteobacteria","caulobacterales","caulobacteraceae","brevundimonas","brevundimonas diminuta"
"OTU136","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","chitinophagaceae","flavisolibacter","flavisolibacter spp."
"OTU137","bacteria","actinobacteria","actinobacteria","solirubrobacterales","conexibacteraceae","conexibacter","conexibacter spp."
"OTU138","bacteria","proteobacteria","alphaproteobacteria","sphingomonadales","erythrobacteraceae","altererythrobacter","altererythrobacter sp."
"OTU139","bacteria","actinobacteria","thermoleophilia","thermoleophilales","thermoleophilaceae","thermoleophilum","thermoleophilum spp."
"OTU140","bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillaceae","azospirillum","azospirillum spp."
"OTU141","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","chitinophagaceae","chitinophaga","chitinophaga spp."
"OTU142","bacteria","actinobacteria","actinobacteria","actinomycetales","streptomycetaceae","streptomyces","streptomyces yanglinensis"
"OTU143","bacteria","gemmatimonadetes","gemmatimonadetes","gemmatimonadales","gemmatimonadaceae","gemmatimonas","gemmatimonas spp."
"OTU144","bacteria","proteobacteria","gammaproteobacteria","pseudomonadales","pseudomonadaceae","pseudomonas","pseudomonas migulae"
"OTU145","bacteria","gemmatimonadetes","gemmatimonadetes","gemmatimonadales","gemmatimonadaceae","gemmatimonas","gemmatimonas spp."
"OTU146","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","gemmata","gemmata spp."
"OTU147","bacteria","firmicutes","bacilli","bacillales","paenibacillaceae","paenibacillus","paenibacillus sp."
"OTU148","bacteria","actinobacteria","actinobacteria","actinomycetales","nocardioidaceae","kribbella","kribbella sp."
"OTU149","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","brucellaceae","ochrobactrum","ochrobactrum tritici"
"OTU150","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","zavarzinella","zavarzinella spp."
"OTU151","bacteria","proteobacteria","gammaproteobacteria","xanthomonadales","xanthomonadaceae","luteibacter","luteibacter sp."
"OTU152","fungi","fungi","mucoromycotina","mucorales","mucoraceae","mucor","mucor plumbeus"
"OTU153","bacteria","firmicutes","bacilli","bacillales","bacillales","exiguobacterium","exiguobacterium undae"
"OTU154","bacteria","actinobacteria","actinobacteria","solirubrobacterales","conexibacteraceae","conexibacter","conexibacter spp."
"OTU155","bacteria","firmicutes","bacilli","bacillales","paenibacillaceae","paenibacillus","paenibacillus sp."
"OTU156","bacteria","actinobacteria","actinobacteria","solirubrobacterales","conexibacteraceae","conexibacter","conexibacter spp."
"OTU157","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","sphingobacteriaceae","sphingobacterium","sphingobacterium sp."
"OTU158","bacteria","proteobacteria","betaproteobacteria","burkholderiales","burkholderiaceae","burkholderia","burkholderia spp."
"OTU159","archaea","thaumarchaeota","thaumarchaeota","nitrososphaerales","nitrososphaeraceae","nitrososphaera","candidatus nitrososphaera gargensis"
"OTU160","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","hyphomicrobiaceae","hyphomicrobium","hyphomicrobium facile"
"OTU161","bacteria","firmicutes","bacilli","bacillales","paenibacillaceae","cohnella","cohnella ferri"
"OTU162","bacteria","proteobacteria","alphaproteobacteria","sphingomonadales","sphingomonadaceae","sphingobium","sphingobium sp."
"OTU163","bacteria","proteobacteria","alphaproteobacteria","rhodobacterales","rhodobacteraceae","rubellimicrobium","rubellimicrobium spp."
"OTU164","bacteria","actinobacteria","actinobacteria","solirubrobacterales","conexibacteraceae","conexibacter","conexibacter woesei"
"OTU165","bacteria","proteobacteria","gammaproteobacteria","xanthomonadales","sinobacteraceae","steroidobacter","steroidobacter spp."
"OTU166","bacteria","proteobacteria","betaproteobacteria","rhodocyclales","rhodocyclaceae","azoarcus","azoarcus spp."
"OTU167","bacteria","actinobacteria","actinobacteria","actinomycetales","geodermatophilaceae","geodermatophilus","geodermatophilus spp."
"OTU168","bacteria","actinobacteria","actinobacteria","actinomycetales","pseudonocardiaceae","pseudonocardia","pseudonocardia spp."
"OTU169","bacteria","bacteroidetes","flavobacteriia","flavobacteriales","flavobacteriaceae","flavobacterium","flavobacterium spp."
"OTU170","eukaryota","eukaryota","chrysophyceae","chromulinales","chromulinaceae","ochromonas","ochromonas distigma"
"OTU171","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","chitinophagaceae","ferruginibacter","ferruginibacter sp."
"OTU172","bacteria","firmicutes","clostridia","clostridiales","eubacteriaceae","eubacterium","eubacterium brachy"
"OTU173","bacteria","proteobacteria","betaproteobacteria","rhodocyclales","rhodocyclaceae","zoogloea","zoogloea spp."
"OTU174","bacteria","proteobacteria","betaproteobacteria","burkholderiales","burkholderiaceae","burkholderia","burkholderia spp."
"OTU175","bacteria","actinobacteria","thermoleophilia","thermoleophilales","thermoleophilaceae","thermoleophilum","thermoleophilum spp."
"OTU176","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","rhodobiaceae","rhodobium","rhodobium spp."
"OTU177","bacteria","firmicutes","clostridia","clostridiales","clostridiaceae","clostridium","clostridium bowmanii"
"OTU178","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","chitinophagaceae","flavisolibacter","flavisolibacter sp."
"OTU179","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","hyphomicrobiaceae","pedomicrobium","pedomicrobium sp."
"OTU180","bacteria","proteobacteria","betaproteobacteria","burkholderiales","burkholderiaceae","burkholderia","burkholderia sp."
"OTU181","bacteria","actinobacteria","actinobacteria","solirubrobacterales","solirubrobacteraceae","solirubrobacter","solirubrobacter spp."
"OTU182","bacteria","verrucomicrobia","verrucomicrobiae","verrucomicrobiales","verrucomicrobiaceae","prosthecobacter","prosthecobacter spp."
"OTU183","bacteria","firmicutes","bacilli","bacillales","paenibacillaceae","paenibacillus","paenibacillus sp."
"OTU184","bacteria","gemmatimonadetes","gemmatimonadetes","gemmatimonadales","gemmatimonadaceae","gemmatimonas","gemmatimonas spp."
"OTU185","bacteria","actinobacteria","actinobacteria","gaiellales","gaiellaceae","gaiella","gaiella spp."
"OTU186","eukaryota","eukaryota","eukaryota","longamoebia","longamoebia","acanthamoeba","acanthamoeba castellanii"
"OTU187","bacteria","proteobacteria","alphaproteobacteria","sphingomonadales","sphingomonadaceae","sphingomonas","sphingomonas mali"
"OTU188","bacteria","proteobacteria","alphaproteobacteria","sphingomonadales","sphingomonadaceae","sphingobium","sphingobium paucimobilis"
"OTU189","bacteria","actinobacteria","actinobacteria","actinomycetales","pseudonocardiaceae","lentzea","lentzea spp."
"OTU190","bacteria","proteobacteria","betaproteobacteria","nitrosomonadales","nitrosomonadaceae","nitrosospira","nitrosospira spp."
"OTU191","bacteria","verrucomicrobia","verrucomicrobiae","verrucomicrobiales","verrucomicrobiaceae","verrucomicrobium","verrucomicrobium spp."
"OTU192","bacteria","chloroflexi","thermomicrobia","sphaerobacterales","sphaerobacteraceae","sphaerobacter","sphaerobacter spp."
"OTU193","bacteria","actinobacteria","actinobacteria","actinomycetales","micromonosporaceae","luedemannella","luedemannella sp."
"OTU194","bacteria","actinobacteria","actinobacteria","actinomycetales","nocardiaceae","rhodococcus","rhodococcus yunnanensis"
"OTU195","bacteria","actinobacteria","actinobacteria","solirubrobacterales","conexibacteraceae","conexibacter","conexibacter spp."
"OTU196","bacteria","actinobacteria","actinobacteria","solirubrobacterales","solirubrobacteraceae","solirubrobacter","solirubrobacter spp."
"OTU197","bacteria","actinobacteria","actinobacteria","solirubrobacterales","conexibacteraceae","conexibacter","conexibacter sp."
"OTU198","bacteria","proteobacteria","alphaproteobacteria","rickettsiales","rickettsiaceae","orientia","orientia tsutsugamushi"
"OTU199","bacteria","actinobacteria","actinobacteria","solirubrobacterales","conexibacteraceae","conexibacter","conexibacter spp."
"OTU200","bacteria","actinobacteria","actinobacteria","actinomycetales","nakamurellaceae","nakamurella","nakamurella sp."
"OTU201","bacteria","actinobacteria","actinobacteria","solirubrobacterales","conexibacteraceae","conexibacter","conexibacter spp."
"OTU202","bacteria","actinobacteria","actinobacteria","acidimicrobiales","acidimicrobiaceae","aciditerrimonas","aciditerrimonas spp."
"OTU203","bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","acetobacteraceae","stella","stella spp."
"OTU204","bacteria","proteobacteria","betaproteobacteria","nitrosomonadales","nitrosomonadaceae","nitrosospira","nitrosospira spp."
"OTU205","bacteria","proteobacteria","deltaproteobacteria","desulfobacterales","desulfobacteraceae","desulforegula","desulforegula spp."
"OTU206","bacteria","firmicutes","bacilli","bacillales","bacillaceae","bacillus","bacillus hackensackii"
"OTU207","bacteria","proteobacteria","deltaproteobacteria","myxococcales","cystobacteraceae","cystobacter","cystobacter spp."
"OTU208","bacteria","actinobacteria","actinobacteria","solirubrobacterales","conexibacteraceae","conexibacter","conexibacter spp."
"OTU209","bacteria","gemmatimonadetes","gemmatimonadetes","gemmatimonadales","gemmatimonadaceae","gemmatimonas","gemmatimonas spp."
"OTU210","bacteria","actinobacteria","actinobacteria","solirubrobacterales","solirubrobacteraceae","solirubrobacter","solirubrobacter spp."
"OTU211","bacteria","actinobacteria","actinobacteria","actinomycetales","micromonosporaceae","rugosimonospora","rugosimonospora sp."
"OTU212","bacteria","firmicutes","bacilli","bacillales","planococcaceae","sporosarcina","sporosarcina psychrophila"
"OTU213","archaea","thaumarchaeota","thaumarchaeota","nitrososphaerales","nitrososphaeraceae","nitrososphaera","candidatus nitrososphaera gargensis"
"OTU214","bacteria","acidobacteria","acidobacteriia","acidobacteriales","acidobacteriaceae","acidobacterium","acidobacterium spp."
"OTU215","bacteria","acidobacteria","acidobacteriia","acidobacteriales","acidobacteriaceae","acidobacterium","acidobacterium spp."
"OTU216","bacteria","acidobacteria","acidobacteriia","acidobacteriales","acidobacteriaceae","acidobacterium","acidobacterium spp."
"OTU217","bacteria","actinobacteria","actinobacteria","actinomycetales","micromonosporaceae","actinoplanes","actinoplanes spp."
"OTU218","bacteria","acidobacteria","holophagae","holophagales","holophagaceae","holophaga","holophaga spp."
"OTU219","bacteria","bacteroidetes","flavobacteriia","flavobacteriales","flavobacteriaceae","flavobacterium","flavobacterium sp."
"OTU220","bacteria","proteobacteria","deltaproteobacteria","desulfuromonadales","pelobacteraceae","pelobacter","pelobacter spp."
"OTU221","bacteria","proteobacteria","deltaproteobacteria","syntrophobacterales","syntrophobacteraceae","desulfovirga","desulfovirga spp."
"OTU222","bacteria","gemmatimonadetes","gemmatimonadetes","gemmatimonadales","gemmatimonadaceae","gemmatimonas","gemmatimonas spp."
"OTU223","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","hyphomicrobiaceae","rhodoplanes","rhodoplanes spp."
"OTU224","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","chitinophagaceae","flavitalea","flavitalea spp."
"OTU225","bacteria","actinobacteria","actinobacteria","actinomycetales","intrasporangiaceae","oryzihumus","oryzihumus sp."
"OTU226","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","phyllobacteriaceae","aquamicrobium","aquamicrobium spp."
"OTU227","bacteria","proteobacteria","betaproteobacteria","hydrogenophilales","hydrogenophilaceae","thiobacillus","thiobacillus spp."
