"","sample.ID","label","pair","include","farmer","condition","compartment","farmer2","variete","herbicides","fongicides","insecticides","surface..Ha.","N..kg.Ha.","P","K","rang..cm.","date.semis","labour","travail.superficiel..dechaumeuse..griffes..disques..","binage","irrigation","Rotation..1","adventices","NO3","NH4","Argile","Limonsf","Limonsg","Sablesf","Sablesg","COrga","N","CN","MatOrga","pH","CaCO3","CEC"
"Sample24","Sample 24","SOLLEmaize+beanbean-rhizo","P24",1,"SOLLE","maize+bean","bean-rhizo","So","LG30597+Alaric","oui","non",NA,"9","49,5","52,5","75",180,"21/05/2017","oui","oui","3","oui","céréales triticales, orge, avoine, vesce, pois","non",8.43,1.51,211,321,191,165,112,10.3,1.21,8.54,17.9,7.63,5,7.03
"Sample25","Sample 25","SOLLEmaize+beanmaize-rhizo","P25",1,"SOLLE","maize+bean","maize-rhizo","So","LG30597+Alaric","oui","non",NA,"9","49,5","52,5","75",180,"21/05/2017","oui","oui","3","oui","céréales triticales, orge, avoine, vesce, pois","non",8.43,1.51,211,321,191,165,112,10.3,1.21,8.54,17.9,7.63,5,7.03
"Sample26","Sample 26","SOLLEbeanbulk","P26",1,"SOLLE","bean","bulk","So","Lapujole","oui","oui","non","1","26,4","49","75",NA,"21/05/2017","oui","oui",NA,"non","céréales triticales, orge, avoine, vesce, pois","non",7.53,1.6066666667,213,309,189,175,114,11,1.28,8.63,19.1,7.59,5,7.21
"Sample27","Sample 27","SOLLEbeanbean-rhizo","P27",1,"SOLLE","bean","bean-rhizo","So","Lapujole","oui","oui","non","1","26,4","49","75",NA,"21/05/2017","oui","oui",NA,"non","céréales triticales, orge, avoine, vesce, pois","non",7.53,1.6066666667,213,309,189,175,114,11,1.28,8.63,19.1,7.59,5,7.21
"Sample28","Sample 28","SOLLEmaizebulk","P28",1,"SOLLE","maize","bulk","So","LG3264","oui","non","non",NA,"49,5","52,5","75",180,"21/05/2017","oui","oui","3","oui","céréales triticales, orge, avoine, vesce, pois","non",28.1,1.5066666667,172,352,196,170,110,9.87,1.15,8.55,17.1,7.46,2,6.84
"Sample29","Sample 29","SOLLEmaizemaize-rhizo","P29",1,"SOLLE","maize","maize-rhizo","So","LG3264","oui","non","non",NA,"49,5","52,5","75",180,"21/05/2017","oui","oui","3","oui","céréales triticales, orge, avoine, vesce, pois","non",28.1,1.5066666667,172,352,196,170,110,9.87,1.15,8.55,17.1,7.46,2,6.84
"Sample30","Sample 30","CASAGRANDEmaize+beanbulk","P30",1,"CASAGRANDE","maize+bean","bulk","Ca1","PO725+population2","non","non","non","0,018","175",NA,NA,75,"08/05/2017","oui","oui","1","oui","Maïs-haricot","moyen",14.3333333333,2.7366666667,183,230,139,220,228,13.6,1.39,9.84,23.6,6.16,0,8.42
"Sample31","Sample 31","CASAGRANDEmaize+beanbean-rhizo","P31",1,"CASAGRANDE","maize+bean","bean-rhizo","Ca1","PO725+population2","non","non","non","0,018","175",NA,NA,75,"08/05/2017","oui","oui","1","oui","Maïs-haricot","moyen",14.3333333333,2.7366666667,183,230,139,220,228,13.6,1.39,9.84,23.6,6.16,0,8.42
"Sample32","Sample 32","CASAGRANDEmaize+beanmaize-rhizo","P32",1,"CASAGRANDE","maize+bean","maize-rhizo","Ca1","PO725+population2","non","non","non","0,018","175",NA,NA,75,"08/05/2017","oui","oui","1","oui","Maïs-haricot","moyen",14.3333333333,2.7366666667,183,230,139,220,228,13.6,1.39,9.84,23.6,6.16,0,8.42
"Sample33","Sample 33","CASAGRANDEmaizebulk","P33",1,"CASAGRANDE","maize","bulk","Ca2","PO725","oui","non","oui","3","NA100",NA,NA,75,"30/05/2017","oui","oui","1","oui","maïs","non",29.4666666667,6.2566666667,201,378,226,128,67,16.4,1.4,11.7,28.4,5.05,1,5.44
"Sample34","Sample 34","CASAGRANDEmaizemaize-rhizo","P34",1,"CASAGRANDE","maize","maize-rhizo","Ca2","PO725","oui","non","oui","3","NA100",NA,NA,75,"30/05/2017","oui","oui","1","oui","maïs","non",29.4666666667,6.2566666667,201,378,226,128,67,16.4,1.4,11.7,28.4,5.05,1,5.44
"Sample35","Sample 35","DESPOUYmaizebulk","P35",1,"DESPOUY","maize","bulk","De+Go","PO725","oui","non","oui","75","288",NA,NA,80,"15/04/2017","oui","oui","2","oui","maïs","non",8.34,5.45,300,489,108,62,41,11.3,1.29,8.75,19.5,5.8,0,8.26
"Sample36","Sample 36","DESPOUYmaizemaize-rhizo","P36",1,"DESPOUY","maize","maize-rhizo","De+Go","PO725","oui","non","oui","75","288",NA,NA,80,"15/04/2017","oui","oui","2","oui","maïs","non",8.34,5.45,300,489,108,62,41,11.3,1.29,8.75,19.5,5.8,0,8.26
"Sample37","Sample 37","GOUTmaize+beanbulk","P37",1,"GOUT","maize+bean","bulk","De+Go","PO725+Alaric","oui","non","non","0,5","200 NA",NA,"200 NA",160,"31/05/2017","oui","oui","2,5","oui","legumes","non",10.5,2.7633333333,256,317,181,141,105,15,1.57,9.56,25.9,6.07,0,9.9
"Sample38","Sample 38","GOUTmaize+beanbean-rhizo","P38",1,"GOUT","maize+bean","bean-rhizo","De+Go","PO725+Alaric","oui","non","non","0,5","200 NA",NA,"200 NA",160,"31/05/2017","oui","oui","2,5","oui","legumes","non",10.5,2.7633333333,256,317,181,141,105,15,1.57,9.56,25.9,6.07,0,9.9
"Sample39","Sample 39","GOUTmaize+beanmaize-rhizo","P39",1,"GOUT","maize+bean","maize-rhizo","De+Go","PO725+Alaric","oui","non","non","0,5","200 NA",NA,"200 NA",160,"31/05/2017","oui","oui","2,5","oui","legumes","non",10.5,2.7633333333,256,317,181,141,105,15,1.57,9.56,25.9,6.07,0,9.9
